gpsWeek	gpsTow	day	mon	year	hour	min	sec	ecef_x_m	ecef_y_m	ecef_z_m	enlem_deg	boylam_deg	irtifa_m_msl	irtifa_m_ell
2169	463735.003000	6	8	2021	8	48	55	4208116.636000	2335567.844000	4171639.267000	41.1096	29.0409	146.571000	183.955000
2169	463736.003000	6	8	2021	8	48	56	4208116.693000	2335567.799000	4171639.280000	41.1106	29.0509	146.605000	183.988000
2169	463737.003000	6	8	2021	8	48	57	4208116.691000	2335567.794000	4171639.406000	41.1116	29.0609	146.661000	184.035000
2169	463738.003000	6	8	2021	8	48	58	4208116.754000	2335567.751000	4171639.409000	41.1126	29.0709	146.653000	184.036000
2169	463739.003000	6	8	2021	8	48	59	4208116.688000	2335567.733000	4171639.377000	41.1136	29.0809	146.612000	183.995000
2169	463740.003000	6	8	2021	8	49	0	4208116.671000	2335567.741000	4171639.256000	41.1146	29.0909	146.535000	183.918000
2169	463741.003000	6	8	2021	8	49	1	4208116.611000	2335567.624000	4171639.245000	41.1156	29.1009	146.468000	183.851000
2169	463742.003000	6	8	2021	8	49	2	4208116.522000	2335567.625000	4171639.199000	41.1166	29.1109	146.380000	183.763000
2169	463743.003000	6	8	2021	8	49	3	4208116.490000	2335567.602000	4171639.179000	41.1176	29.1209	146.360000	183.734000
2169	463744.003000	6	8	2021	8	49	4	4208116.440000	2335567.584000	4171639.207000	41.1186	29.1309	146.297000	183.680000
2169	463745.003000	6	8	2021	8	49	5	4208116.426000	2335567.578000	4171639.126000	41.1196	29.1409	146.225000	183.609000
2169	463746.003000	6	8	2021	8	49	6	4208116.386000	2335567.573000	4171639.172000	41.1206	29.1509	146.217000	183.600000
2169	463747.003000	6	8	2021	8	49	7	4208116.380000	2335567.584000	4171639.168000	41.1216	29.1609	146.214000	183.597000
2169	463748.003000	6	8	2021	8	49	8	4208116.345000	2335567.575000	4171639.157000	41.1226	29.1709	146.206000	183.580000
2169	463749.003000	6	8	2021	8	49	9	4208116.353000	2335567.647000	4171639.245000	41.1236	29.1809	146.250000	183.634000
2169	463750.003000	6	8	2021	8	49	10	4208116.350000	2335567.613000	4171639.294000	41.1246	29.1909	146.298000	183.681000
2169	463751.003000	6	8	2021	8	49	11	4208116.344000	2335567.674000	4171639.315000	41.1256	29.2009	146.324000	183.707000
2169	463752.003000	6	8	2021	8	49	12	4208116.263000	2335567.694000	4171639.385000	41.1266	29.2109	146.352000	183.735000
